iter	Logloss
0	0.6321335748
1	0.580177853
2	0.5330295164
3	0.502815256
4	0.4642937283
5	0.4377369925
6	0.4149743215
7	0.3870476536
8	0.3703303492
9	0.3521636992
10	0.3367387862
11	0.3277120324
12	0.3163651293
13	0.3047012207
14	0.2956517976
15	0.2854480878
16	0.2776468868
17	0.2680245945
18	0.2618832452
19	0.2568340399
20	0.2520639487
21	0.2476932955
22	0.241369521
23	0.238844149
24	0.2345104528
25	0.2312428541
26	0.2275316493
27	0.2244652088
28	0.2220313855
29	0.2196762272
30	0.2174845518
31	0.2156839173
32	0.2134864742
33	0.2110575078
34	0.2092341147
35	0.2081325302
36	0.2063625003
37	0.205302743
38	0.2045022465
39	0.2038481004
40	0.2025579247
41	0.2017598153
42	0.2002537713
43	0.198512869
44	0.1972698477
45	0.1969808909
46	0.1955440031
47	0.1947969825
48	0.193495978
49	0.1925352261
50	0.1918757109
51	0.1909468463
52	0.1903283612
53	0.1896519719
54	0.1887668108
55	0.1884059453
56	0.1879848912
57	0.1877616335
58	0.1873550998
59	0.1870838918
60	0.1865985018
61	0.1863635494
62	0.1861426159
63	0.1859016534
64	0.1851446121
65	0.1848044971
66	0.1845308
67	0.1841223326
68	0.1837793604
69	0.1831625439
70	0.1828804059
71	0.1823078501
72	0.1821580204
73	0.1818954136
74	0.181635867
75	0.1813688422
76	0.1811494024
77	0.180845828
78	0.1806486434
79	0.1802361135
80	0.1800373868
81	0.1798341731
82	0.1795854414
83	0.1794631163
84	0.179302515
85	0.1790775581
86	0.1788842725
87	0.1787396313
88	0.1785178447
89	0.1783622927
90	0.1782408312
91	0.1780287383
92	0.1778937083
93	0.1776724723
94	0.1775663722
95	0.1774324678
96	0.1772520183
97	0.1771002317
98	0.1769963514
99	0.1767763608
100	0.1765436006
101	0.1763516911
102	0.1761196563
103	0.1760035714
104	0.1758293713
105	0.1756725134
106	0.1753542152
107	0.1752138107
108	0.1750683835
109	0.174991581
110	0.1748463138
111	0.1747108492
112	0.1745505851
113	0.1743859022
114	0.1742321957
115	0.1741115894
116	0.1739833775
117	0.1737725312
118	0.1736400706
119	0.1735409447
120	0.1733907616
121	0.1732480437
122	0.1731967503
123	0.1729936079
124	0.1728883911
125	0.1727502913
126	0.1725627347
127	0.1724788028
128	0.1723709756
129	0.1722244726
130	0.1721191099
131	0.172022947
132	0.1719125635
133	0.1717766075
134	0.1716877398
135	0.1715839081
136	0.1714996385
137	0.1713370265
138	0.1712219793
139	0.1710622049
140	0.1709386953
141	0.1707915789
142	0.1706558032
143	0.1705889127
144	0.1704662683
145	0.1703802747
146	0.170263426
147	0.1701526962
148	0.1700208847
149	0.1699132776
150	0.1698333691
151	0.1697555709
152	0.1696395959
153	0.1695899011
154	0.1695185334
155	0.1693661688
156	0.1692314739
157	0.1691747929
158	0.1690968257
159	0.1690384623
160	0.1689917096
161	0.1688793297
162	0.1687917955
163	0.1686587703
164	0.1686010308
165	0.1684990773
166	0.1684081858
167	0.1682651214
168	0.1682267112
169	0.1681410851
170	0.1680230378
171	0.1679426901
172	0.1678342906
173	0.1677227714
174	0.1676394064
175	0.1675547083
176	0.1674268669
177	0.1672700212
178	0.1672230397
179	0.1670891226
180	0.1670215103
181	0.1669670823
182	0.1669120048
183	0.166817583
184	0.1667065678
185	0.1666100548
186	0.1665523366
187	0.1664655675
188	0.1663599896
189	0.1662963948
190	0.1662104997
191	0.1661414933
192	0.1660621892
193	0.1659899442
194	0.1657995506
195	0.1656753578
196	0.1655989056
197	0.1655219438
198	0.1654496406
199	0.1653462088
200	0.1652958572
201	0.1651679527
202	0.1651210503
203	0.1649871221
204	0.1649205526
205	0.1648203425
206	0.1647622853
207	0.1646671372
208	0.1645332837
209	0.1643930666
210	0.1642828624
211	0.1641844482
212	0.1641111747
213	0.1640464559
214	0.1639942874
215	0.1639191514
216	0.1638482637
217	0.1637711595
218	0.1637083033
219	0.1636548524
220	0.1635685908
221	0.1634681847
222	0.1633963053
223	0.1633532847
224	0.1632668894
225	0.1632118943
226	0.1631626178
227	0.1630780912
228	0.1630528896
229	0.1629662009
230	0.1628731977
231	0.1627918881
232	0.1627036646
233	0.1625894058
234	0.1624951672
235	0.1624514172
236	0.1624064789
237	0.1623221727
238	0.1622781591
239	0.1622003476
240	0.1621519459
241	0.1620845961
242	0.1619695159
243	0.1619390811
244	0.1618929819
245	0.1618149374
246	0.1617186519
247	0.1616403098
248	0.1615725014
249	0.1615013565
250	0.1614202337
251	0.1613764172
252	0.1612997949
253	0.1611974274
254	0.1610931046
255	0.1609483406
256	0.1608408489
257	0.1607412999
258	0.1606646589
259	0.1605374075
260	0.1604671019
261	0.1603702931
262	0.1602582879
263	0.1601696156
264	0.1600475248
265	0.1599499339
266	0.1598920459
267	0.1597776679
268	0.1596658127
269	0.1595344889
270	0.1594707345
271	0.1593716902
272	0.1591959013
273	0.159075033
274	0.1590184508
275	0.1589423003
276	0.1588744935
277	0.1587882044
278	0.1587252338
279	0.1586674764
280	0.1586302457
281	0.1585549788
282	0.1585187427
283	0.1584067685
284	0.158362625
285	0.158264998
286	0.1582077129
287	0.1581427278
288	0.1580582171
289	0.1579914668
290	0.157905873
291	0.1578422746
292	0.1577304355
293	0.1575929592
294	0.1574963664
295	0.1574491844
296	0.1573398468
297	0.1572818278
298	0.1571133631
299	0.1570535082
300	0.1569797907
301	0.1569045948
302	0.156845175
303	0.1567666375
304	0.1566378165
305	0.1565684971
306	0.1564741083
307	0.1563768355
308	0.1562846605
309	0.1562349222
310	0.1561676107
311	0.1560879919
312	0.1560417183
313	0.1560343972
314	0.1559551094
315	0.1558340559
316	0.1557748151
317	0.1556382727
318	0.1556228584
319	0.1555308845
320	0.1554491681
321	0.1553299183
322	0.1552478074
323	0.1551550251
324	0.1550606217
325	0.1549349324
326	0.1548231615
327	0.1547072414
328	0.1546475079
329	0.1545787836
330	0.154507806
331	0.1543831067
332	0.1543139484
333	0.1542390157
334	0.1541242853
335	0.1540523764
336	0.1539637628
337	0.1539052683
338	0.1537972051
339	0.153745726
340	0.1537006482
341	0.1536596461
342	0.153558036
343	0.1534866564
344	0.1533840556
345	0.1533528319
346	0.1532451917
347	0.1531609631
348	0.1530800001
349	0.1530193905
350	0.1529728998
351	0.1529031808
352	0.1527970692
353	0.1527504886
354	0.1526956535
355	0.1526344242
356	0.1526096507
357	0.1525664212
358	0.1524848923
359	0.1524493704
360	0.1523677166
361	0.152233678
362	0.1521146292
363	0.1520312115
364	0.1519569473
365	0.1518845233
366	0.1518436677
367	0.1517325364
368	0.1516093807
369	0.1515836694
370	0.1515152163
371	0.1514851858
372	0.1514253739
373	0.1513567033
374	0.1512487432
375	0.1511547804
376	0.151107855
377	0.1510270991
378	0.1509867212
379	0.150909176
380	0.1508353727
381	0.1507843725
382	0.1507100401
383	0.1506117554
384	0.1505250394
385	0.1504309374
386	0.1503499709
387	0.1503147539
388	0.1501985724
389	0.1501165216
390	0.1500548942
391	0.1499380694
392	0.1498649624
393	0.1498225143
394	0.1497428738
395	0.1496736058
396	0.1496081691
397	0.149542224
398	0.1494487042
399	0.1494109518
400	0.1493113188
401	0.149173272
402	0.1491380157
403	0.149095732
404	0.1490288688
405	0.1489467016
