iter	Passed	Remaining
0	24	24493
1	49	24525
2	73	24417
3	96	24069
4	121	24084
5	147	24355
6	177	25111
7	205	25473
8	237	26124
9	262	25994
10	293	26356
11	321	26481
12	347	26382
13	376	26536
14	407	26758
15	435	26812
16	460	26631
17	483	26369
18	506	26151
19	531	26032
20	555	25904
21	579	25779
22	604	25673
23	628	25558
24	651	25423
25	675	25292
26	699	25191
27	723	25106
28	746	25008
29	769	24892
30	794	24835
31	817	24741
32	841	24669
33	866	24608
34	889	24534
35	913	24452
36	937	24393
37	960	24316
38	984	24249
39	1008	24196
40	1032	24144
41	1066	24328
42	1090	24279
43	1115	24231
44	1138	24168
45	1162	24099
46	1185	24047
47	1209	23998
48	1234	23965
49	1258	23912
50	1282	23870
51	1309	23867
52	1332	23815
53	1355	23739
54	1378	23692
55	1402	23642
56	1425	23580
57	1449	23536
58	1472	23481
59	1496	23439
60	1520	23399
61	1543	23357
62	1568	23322
63	1591	23280
64	1615	23243
65	1635	23142
66	1654	23037
67	1673	22935
68	1692	22839
69	1712	22746
70	1736	22717
71	1756	22641
72	1775	22548
73	1795	22469
74	1814	22383
75	1834	22301
76	1853	22222
77	1873	22141
78	1893	22072
79	1912	21997
80	1931	21913
81	1951	21841
82	1970	21768
83	1989	21696
84	2008	21624
85	2028	21553
86	2048	21492
87	2066	21421
88	2086	21361
89	2106	21294
90	2125	21228
91	2144	21168
92	2163	21103
93	2182	21036
94	2201	20974
95	2221	20914
96	2240	20860
97	2260	20807
98	2279	20747
99	2298	20688
100	2318	20636
101	2336	20573
102	2355	20513
103	2374	20455
104	2392	20397
105	2412	20346
106	2431	20291
107	2450	20239
108	2469	20184
109	2488	20135
110	2507	20081
111	2526	20032
112	2545	19980
113	2564	19928
114	2583	19883
115	2602	19836
116	2622	19790
117	2641	19746
118	2660	19693
119	2678	19644
120	2697	19597
121	2717	19554
122	2735	19504
123	2754	19458
124	2773	19413
125	2792	19372
126	2815	19351
127	2833	19301
128	2852	19257
129	2871	19216
130	2891	19179
131	2913	19156
132	2931	19111
133	2950	19069
134	2969	19026
135	2988	18984
136	3007	18942
137	3026	18905
138	3045	18864
139	3065	18829
140	3084	18788
141	3102	18748
142	3121	18709
143	3140	18668
144	3159	18628
145	3178	18589
146	3196	18551
147	3215	18508
148	3234	18473
149	3253	18437
150	3272	18400
151	3291	18361
152	3311	18332
153	3328	18287
154	3348	18253
155	3367	18220
156	3386	18184
157	3405	18148
158	3424	18111
159	3442	18073
160	3460	18032
161	3479	17999
162	3499	17967
163	3518	17938
164	3537	17901
165	3559	17882
166	3578	17850
167	3597	17817
168	3616	17782
169	3634	17747
170	3653	17713
171	3672	17681
172	3691	17644
173	3710	17613
174	3728	17576
175	3746	17541
176	3766	17513
177	3788	17493
178	3806	17459
179	3825	17429
180	3844	17397
181	3864	17367
182	3882	17334
183	3901	17304
184	3921	17274
185	3940	17243
186	3958	17208
187	3977	17179
188	3996	17150
189	4015	17120
190	4036	17098
191	4055	17066
192	4074	17035
193	4092	17003
194	4111	16972
195	4130	16944
196	4148	16910
197	4167	16881
198	4187	16853
199	4205	16823
200	4225	16795
201	4244	16768
202	4263	16738
203	4283	16713
204	4301	16682
205	4321	16655
206	4339	16625
207	4359	16598
208	4378	16569
209	4397	16543
210	4416	16516
211	4436	16492
212	4455	16464
213	4475	16439
214	4493	16406
215	4512	16380
216	4531	16352
217	4550	16324
218	4569	16294
219	4587	16264
220	4607	16239
221	4626	16212
222	4644	16183
223	4662	16153
224	4684	16135
225	4702	16105
226	4720	16073
227	4739	16047
228	4757	16018
229	4777	15995
230	4797	15970
231	4816	15945
232	4835	15918
233	4855	15895
234	4875	15870
235	4893	15841
236	4913	15818
237	4932	15792
238	4950	15764
239	4970	15739
240	4989	15712
241	5008	15686
242	5027	15661
243	5045	15634
244	5065	15609
245	5084	15583
246	5103	15559
247	5123	15535
248	5141	15508
249	5160	15482
250	5178	15453
251	5198	15430
252	5217	15404
253	5237	15382
254	5256	15358
255	5277	15337
256	5295	15309
257	5314	15284
258	5333	15259
259	5353	15235
260	5372	15211
261	5391	15187
262	5411	15164
263	5430	15138
264	5449	15114
265	5470	15094
266	5488	15068
267	5507	15043
268	5526	15018
269	5546	14996
270	5565	14970
271	5584	14947
272	5605	14927
273	5627	14911
274	5645	14883
275	5664	14858
276	5683	14834
277	5703	14813
278	5722	14789
279	5742	14766
280	5760	14739
281	5779	14714
282	5796	14687
283	5816	14664
284	5835	14640
285	5855	14617
286	5873	14592
287	5892	14566
288	5912	14544
289	5931	14521
290	5950	14498
291	5969	14474
292	5988	14449
293	6008	14427
294	6026	14403
295	6045	14378
296	6064	14355
297	6083	14331
298	6102	14308
299	6121	14283
300	6140	14259
301	6159	14236
302	6181	14218
303	6200	14194
304	6220	14173
305	6238	14148
306	6258	14126
307	6277	14103
308	6296	14080
309	6315	14056
310	6333	14032
311	6354	14012
312	6373	13988
313	6390	13960
314	6409	13937
315	6429	13916
316	6447	13891
317	6467	13871
318	6485	13846
319	6504	13823
320	6524	13800
321	6543	13777
322	6562	13755
323	6581	13730
324	6600	13708
325	6619	13686
326	6639	13665
327	6659	13643
328	6677	13619
329	6698	13599
330	6717	13576
331	6736	13553
332	6755	13530
333	6774	13507
334	6793	13486
335	6813	13464
336	6832	13441
337	6851	13418
338	6870	13397
339	6889	13373
340	6907	13348
341	6925	13325
342	6945	13303
343	6964	13281
344	6983	13258
345	7001	13234
346	7021	13212
347	7039	13189
348	7058	13167
349	7077	13143
350	7095	13119
351	7114	13097
352	7133	13075
353	7152	13051
354	7170	13027
355	7189	13005
356	7207	12981
357	7225	12957
358	7245	12936
359	7264	12914
360	7283	12892
361	7303	12871
362	7322	12849
363	7341	12827
364	7360	12805
365	7379	12783
366	7399	12762
367	7418	12739
368	7438	12719
369	7458	12698
370	7476	12675
371	7495	12652
372	7515	12632
373	7536	12614
374	7556	12593
375	7574	12570
376	7593	12548
377	7612	12525
378	7629	12501
379	7648	12478
380	7668	12458
381	7692	12445
382	7723	12442
383	7753	12438
384	7776	12422
385	7796	12401
386	7815	12380
387	7834	12357
388	7853	12335
389	7872	12313
390	7892	12292
391	7911	12270
392	7929	12247
393	7947	12224
394	7967	12203
395	7987	12182
396	8005	12159
397	8024	12137
398	8044	12116
399	8062	12094
400	8082	12073
401	8102	12053
402	8121	12030
403	8139	12007
404	8158	11986
405	8177	11964
406	8196	11942
407	8216	11921
408	8234	11899
409	8253	11877
410	8273	11857
411	8291	11834
412	8310	11812
413	8329	11789
414	8348	11768
415	8367	11746
416	8384	11722
417	8404	11701
418	8423	11680
419	8442	11658
420	8461	11637
421	8480	11615
422	8499	11593
423	8518	11572
424	8539	11553
425	8559	11532
426	8577	11510
427	8596	11488
428	8616	11468
429	8635	11446
430	8654	11425
431	8673	11403
432	8691	11381
433	8711	11361
434	8731	11340
435	8750	11318
436	8769	11298
437	8788	11276
438	8807	11254
439	8825	11232
440	8845	11212
441	8864	11191
442	8883	11169
443	8903	11149
444	8922	11127
445	8940	11105
446	8960	11085
447	8979	11064
448	8997	11041
449	9016	11020
450	9035	10998
451	9054	10977
452	9073	10955
453	9092	10934
454	9110	10912
455	9129	10891
456	9148	10869
457	9167	10848
458	9186	10827
459	9205	10806
460	9223	10784
461	9243	10764
462	9263	10744
463	9282	10723
464	9302	10702
465	9321	10681
466	9341	10661
467	9359	10639
468	9378	10618
469	9397	10596
470	9416	10575
471	9434	10553
472	9453	10532
473	9472	10511
474	9492	10491
475	9511	10471
476	9529	10448
477	9548	10427
478	9568	10407
479	9586	10385
480	9605	10364
481	9625	10343
482	9644	10323
483	9663	10302
484	9682	10281
485	9701	10260
486	9720	10239
487	9739	10218
488	9758	10197
489	9777	10176
490	9796	10155
491	9813	10133
492	9834	10113
493	9853	10092
494	9871	10070
495	9889	10048
496	9908	10028
497	9926	10006
498	9945	9985
499	9965	9965
500	9984	9944
501	10003	9923
502	10023	9904
503	10042	9883
504	10061	9862
505	10080	9840
506	10098	9819
507	10117	9798
508	10135	9777
509	10154	9756
510	10173	9735
511	10193	9715
512	10212	9694
513	10232	9675
514	10253	9656
515	10273	9635
516	10292	9615
517	10312	9596
518	10332	9575
519	10351	9555
520	10371	9535
521	10390	9514
522	10409	9494
523	10428	9473
524	10455	9459
525	10485	9448
526	10518	9440
527	10548	9429
528	10577	9417
529	10607	9406
530	10637	9395
531	10674	9389
532	10703	9377
533	10731	9364
534	10754	9347
535	10782	9334
536	10803	9314
537	10827	9298
538	10853	9282
539	10875	9263
540	10897	9245
541	10919	9227
542	10940	9207
543	10962	9189
544	10982	9169
545	11008	9153
546	11038	9141
547	11059	9122
548	11078	9101
549	11097	9079
550	11119	9060
551	11140	9041
552	11162	9022
553	11187	9006
554	11208	8987
555	11233	8970
556	11254	8951
557	11275	8931
558	11295	8911
559	11315	8890
560	11337	8871
561	11361	8854
562	11381	8834
563	11400	8813
564	11419	8792
565	11439	8771
566	11458	8750
567	11477	8729
568	11496	8708
569	11517	8688
570	11537	8668
571	11557	8647
572	11576	8626
573	11596	8606
574	11614	8584
575	11634	8564
576	11656	8545
577	11676	8525
578	11696	8504
579	11716	8484
580	11735	8463
581	11758	8445
582	11782	8427
583	11805	8409
584	11825	8389
585	11845	8368
586	11864	8347
587	11883	8326
588	11909	8310
589	11938	8296
590	11974	8286
591	12009	8276
592	12038	8262
593	12068	8248
594	12094	8232
595	12117	8213
596	12142	8196
597	12168	8180
598	12190	8161
599	12219	8146
600	12242	8127
601	12262	8107
602	12281	8085
603	12300	8064
604	12320	8044
605	12340	8023
606	12360	8002
607	12380	7981
608	12399	7960
609	12419	7940
610	12439	7919
611	12460	7899
612	12479	7878
613	12498	7857
614	12517	7836
615	12538	7816
616	12567	7801
617	12595	7785
618	12620	7768
619	12646	7751
620	12672	7734
621	12699	7717
622	12726	7701
623	12746	7680
624	12766	7659
625	12794	7643
626	12822	7627
627	12852	7613
628	12875	7594
629	12896	7574
630	12915	7552
631	12934	7531
632	12954	7510
633	12975	7490
634	13000	7472
635	13023	7453
636	13043	7432
637	13064	7412
638	13083	7391
639	13102	7369
640	13121	7349
641	13142	7328
642	13161	7307
643	13181	7286
644	13201	7265
645	13220	7244
646	13240	7223
647	13259	7202
648	13278	7181
649	13299	7161
650	13318	7140
651	13337	7118
652	13356	7097
653	13375	7076
654	13393	7054
655	13412	7033
656	13430	7011
657	13453	6992
658	13471	6970
659	13491	6950
660	13510	6929
661	13529	6907
662	13549	6887
663	13568	6865
664	13587	6844
665	13607	6824
666	13627	6803
667	13646	6782
668	13665	6761
669	13684	6740
670	13704	6719
671	13723	6698
672	13743	6677
673	13763	6656
674	13783	6636
675	13803	6615
676	13823	6595
677	13841	6573
678	13861	6552
679	13880	6531
680	13900	6511
681	13929	6494
682	13952	6475
683	13974	6455
684	13994	6435
685	14013	6414
686	14032	6393
687	14052	6372
688	14072	6352
689	14092	6331
690	14112	6310
691	14139	6293
692	14163	6274
693	14184	6254
694	14213	6237
695	14247	6223
696	14280	6208
697	14311	6192
698	14341	6175
699	14376	6161
700	14407	6145
701	14437	6128
702	14463	6110
703	14493	6094
704	14524	6077
705	14549	6059
706	14579	6042
707	14610	6025
708	14645	6010
709	14670	5992
710	14692	5971
711	14713	5951
712	14734	5930
713	14753	5909
714	14773	5888
715	14800	5870
716	14826	5852
717	14846	5831
718	14865	5809
719	14885	5788
720	14905	5767
721	14925	5747
722	14945	5725
723	14965	5705
724	14991	5686
725	15023	5670
726	15048	5650
727	15075	5632
728	15102	5614
729	15123	5593
730	15142	5572
731	15162	5551
732	15188	5532
733	15215	5513
734	15235	5493
735	15255	5472
736	15276	5451
737	15297	5430
738	15315	5409
739	15335	5388
740	15356	5367
741	15378	5347
742	15425	5335
743	15457	5318
744	15487	5301
745	15521	5284
746	15553	5267
747	15583	5250
748	15607	5230
749	15630	5210
750	15652	5189
751	15676	5169
752	15698	5149
753	15721	5129
754	15744	5109
755	15767	5089
756	15792	5069
757	15816	5049
758	15840	5029
759	15867	5010
760	15891	4990
761	15914	4970
762	15938	4950
763	15962	4930
764	15986	4910
765	16009	4890
766	16032	4870
767	16054	4849
768	16078	4829
769	16103	4810
770	16140	4794
771	16171	4776
772	16202	4758
773	16226	4738
774	16249	4717
775	16272	4697
776	16296	4677
777	16320	4657
778	16344	4636
779	16366	4616
780	16390	4596
781	16414	4575
782	16437	4555
783	16461	4535
784	16483	4514
785	16507	4494
786	16531	4474
787	16555	4454
788	16583	4434
789	16605	4414
790	16628	4393
791	16652	4373
792	16676	4353
793	16699	4332
794	16720	4311
795	16744	4291
796	16766	4270
797	16789	4250
798	16813	4229
799	16834	4208
800	16858	4188
801	16882	4167
802	16904	4147
803	16927	4126
804	16949	4105
805	16973	4085
806	16996	4064
807	17020	4044
808	17053	4026
809	17086	4008
810	17122	3990
811	17153	3971
812	17183	3952
813	17214	3933
814	17236	3912
815	17259	3891
816	17282	3871
817	17305	3850
818	17329	3829
819	17352	3809
820	17375	3788
821	17397	3767
822	17421	3746
823	17444	3726
824	17467	3705
825	17490	3684
826	17514	3663
827	17537	3643
828	17561	3622
829	17582	3601
830	17604	3580
831	17628	3559
832	17652	3539
833	17683	3519
834	17714	3500
835	17750	3482
836	17774	3461
837	17798	3440
838	17823	3420
839	17846	3399
840	17869	3378
841	17893	3357
842	17914	3336
843	17939	3315
844	17975	3297
845	18009	3278
846	18044	3259
847	18077	3240
848	18112	3221
849	18148	3202
850	18187	3184
851	18222	3165
852	18253	3145
853	18279	3125
854	18305	3104
855	18333	3084
856	18362	3063
857	18387	3043
858	18411	3022
859	18434	3000
860	18457	2979
861	18480	2958
862	18504	2937
863	18526	2916
864	18548	2894
865	18573	2874
866	18597	2852
867	18620	2831
868	18642	2810
869	18666	2789
870	18689	2768
871	18712	2746
872	18736	2725
873	18759	2704
874	18782	2683
875	18806	2662
876	18828	2640
877	18851	2619
878	18872	2597
879	18896	2576
880	18924	2556
881	18948	2535
882	18971	2513
883	18994	2492
884	19017	2471
885	19041	2449
886	19064	2428
887	19087	2407
888	19110	2386
889	19133	2364
890	19157	2343
891	19181	2322
892	19204	2301
893	19266	2284
894	19288	2262
895	19310	2241
896	19333	2220
897	19355	2198
898	19377	2177
899	19400	2155
900	19423	2134
901	19446	2112
902	19470	2091
903	19492	2070
904	19515	2048
905	19537	2027
906	19560	2005
907	19583	1984
908	19606	1962
909	19629	1941
910	19652	1919
911	19675	1898
912	19697	1876
913	19720	1855
914	19744	1834
915	19767	1812
916	19789	1791
917	19811	1769
918	19834	1748
919	19858	1726
920	19883	1705
921	19905	1683
922	19927	1662
923	19949	1640
924	19972	1619
925	19995	1597
926	20017	1576
927	20041	1554
928	20062	1533
929	20086	1511
930	20110	1490
931	20140	1469
932	20164	1448
933	20188	1426
934	20210	1405
935	20233	1383
936	20256	1361
937	20279	1340
938	20301	1318
939	20323	1297
940	20346	1275
941	20369	1254
942	20391	1232
943	20414	1211
944	20438	1189
945	20462	1168
946	20486	1146
947	20508	1124
948	20531	1103
949	20553	1081
950	20575	1060
951	20600	1038
952	20624	1017
953	20648	995
954	20671	974
955	20694	952
956	20718	930
957	20741	909
958	20765	887
959	20789	866
960	20813	844
961	20836	823
962	20859	801
963	20882	779
964	20906	758
965	20930	736
966	20954	715
967	20978	693
968	21007	672
969	21037	650
970	21060	629
971	21084	607
972	21107	585
973	21131	564
974	21153	542
975	21177	520
976	21201	499
977	21224	477
978	21249	455
979	21273	434
980	21297	412
981	21322	390
982	21346	369
983	21369	347
984	21392	325
985	21418	304
986	21442	282
987	21466	260
988	21487	238
989	21509	217
990	21532	195
991	21553	173
992	21575	152
993	21597	130
994	21619	108
995	21641	86
996	21662	65
997	21685	43
998	21710	21
999	21732	0
